Anmore,Village,1960,2220,2438,2515
Barnston Island 3,Indian Reserve,51,48,52,54
Belcarra,Village,691,657,680,693
Bowen Island,Island Municipality,3448,3608,3917,3957
Burnaby,City,214302,233545,245827,253007
Burrard Inlet 3,Indian Reserve,1462,1635,2018,2305
Capilano 5,Indian Reserve,2605,2834,3109,3203
Coquitlam,City,119028,133916,147764,149894
Coquitlam 1,Indian Reserve,27,44,58,60
Coquitlam 2,Indian Reserve,5,4,0,0
Delta,City,99230,102583,107171,109490
Greater Vancouver A,Regional District Electoral Area,11878,14210,17292,17810
Katzie 1,Indian Reserve,248,247,280,288
Katzie 2,Indian Reserve,30,10,43,45
Langley,City,24619,26172,27433,27718
Langley 5,Indian Reserve,0,0,0,0
Langley District Municipality,District Municipality,98159,109417,126032,130924
Lions Bay,Village,1355,1315,1373,1366
Maple Ridge,City,72038,79043,88437,91222
Matsqui 4,Indian Reserve,439,490,476,490
McMillan Island 6,Indian Reserve,66,74,100,102
Mission 1,Indian Reserve,586,593,614,632
Musqueam 2,Indian Reserve,1426,1620,1734,1779
Musqueam 4,Indian Reserve,5,6,10,10
New Westminster,City,61927,69549,76168,79737
North Vancouver,City,46760,50354,55928,57325
North Vancouver District Municipality,District Municipality,84485,86542,89601,89763
Pitt Meadows,City,16483,18396,19741,19728
Port Coquitlam,City,54233,57736,61853,63305
Port Moody,City,29758,34169,34917,35052
Richmond,City,183521,196738,208182,212276
Semiahmoo,Indian Reserve,110,114,127,131
Seymour Creek 2,Indian Reserve,84,116,132,136
Surrey,City,420369,496063,555328,584526
Tsawwassen,Indian Reserve,766,757,920,943
Vancouver,City,602818,631190,668655,685885
West Vancouver,District Municipality,43182,43347,43717,43945
White Rock,City,19033,19672,20754,21027
